patch_id	severity	file	problem	change	behavior_preserving	tests	prediction_regression	status
P1-A	P1	packaging/ACOR_GITHUB_V1/acor.py	stderr PIPE could deadlock and exceptions could orphan runner	stdout/stderr direct logs; new process group; TERM-wait-KILL-wait cleanup; optional disabled-by-default timeout	YES	tiny fixed-seed old/new; 12MiB stderr; callback KeyboardInterrupt; timeout cleanup	raw pred and order byte-identical; exact/accuracy/mean_ED zero difference	PASS
P1-A-PERM	P1	packaging/ACOR_GITHUB_V1/bin/acor_runner;bin/ed_pairs	copied binaries lacked executable mode	restored mode 0755 without byte changes	YES	new tiny CLI launch	binary SHA unchanged	PASS
P1-B	P1	packaging/ACOR_GITHUB_V1/acor.py	direct session/round writes could expose partial success and collide	mkdtemp UUID staging; atomic order/pred/summary/status; atomic round/session publish; FAILED/INTERRUPTED preservation	YES	tiny fixed-seed old/new; failed partial runner; callback interrupt; concurrent dual launch	raw pred and order byte-identical; exact/accuracy/mean_ED zero difference	PASS
P1-C	P1	packaging/ACOR_GITHUB_V1/acor.py	input rows and file identity were insufficiently validated	strict 7 columns/nonempty/group/read-id/design bounds; scan SHA; dev/inode/size/mtime/ctime identity before and after runner	YES	tiny fixed-seed old/new; 11 malformed cases; scan SHA; live reads mutation	raw pred and order byte-identical; exact/accuracy/mean_ED zero difference	PASS
P1-D	P1	packaging/ACOR_GITHUB_V1/acor.py	evaluator output and truth snapshot were not fully closed	load truth once after pred; strict 4-column/unique-ID/length/ED validation; evaluation.tsv; exact_count/total_ed/base counts	YES	tiny fixed-seed old/new; 9 malformed rc0 modes; nonzero rc; truth mutation	raw pred and order byte-identical; exact/accuracy/mean_ED zero difference	PASS
P1-F	P1	packaging/ACOR_GITHUB_V1/src/acor_runner.cpp	legacy prefix_t and hard-coded protocol PASS/zero fields misrepresented NO_STOP metadata	truthful pred schema; real stop/consumed/total; NOT_APPLICABLE protocol/saving fields; computed status	YES_CANONICAL	tiny old/new same order; schema migration audit	raw schema differs as registered; canonical prediction and three metrics zero difference	PASS
P1-G	P1	packaging/ACOR_GITHUB_V1/src/acor_runner.cpp;acor.py	CPU parsing, gzip lifetime, thread construction, cluster uniqueness and output commit were insufficiently guarded	strict CPU bounds/overlap; gzip RAII; ThreadJoiner; clean EOF/global cluster gate; temp artifacts plus completion marker	YES	tiny P1-F/P1-G raw identity; CPU/gzip/duplicate-cluster faults; runner transaction test	raw pred and order byte-identical; exact/accuracy/mean_ED zero difference	PASS
P2-K	P2	packaging/ACOR_GITHUB_V1/src/candidate_a_light_kernel_optimized.cpp	config tails, narrowing, counters and epoch wrap lacked complete guards	from_chars full-consumption; safe length checks; counter overflow failures; wider sparse counters; full epoch cache reset	YES	tiny P1-G/P2 raw identity; config tails; epoch wrap hook; length overflow	raw pred byte-identical; exact/accuracy/mean_ED zero difference	PASS
P2-E	P2	packaging/ACOR_GITHUB_V1/src/ed_pairs.cpp	quadratic memory and permissive TSV parsing	two-row byte-sensitive Levenshtein; exact three input columns; empty-key/CRLF/EOF/output checks	YES	19 boundary cases; oligo0 1466-row old/new differential; malformed inputs; tiny CLI	old/new evaluator stdout byte-identical on legal inputs; metrics zero difference	PASS
P1-E-RAW-ATTEMPT	P1	packaging/ACOR_GITHUB_V1/src/candidate_a_light_kernel_optimized.cpp	epsilon sort comparator violated strict weak ordering	raw finite score descending then lexical tie	NO_FRONTIER_CHANGED	tiny/tie every-prune frontier plus final	final pred same but tiny frontier SHA changed; attempt preserved and reverted	REJECTED
P1-E	P1	packaging/ACOR_GITHUB_V1/src/candidate_a_light_kernel_optimized.cpp	epsilon sort comparator violated strict weak ordering	finite score quantized to deterministic 1e-12 bucket then frozen lexical/path tie	YES_VERIFIED	tiny/tie every-prune exact+hex frontier; four comparator properties; tiny and oligo0 old/new	tiny/tie frontier byte-identical; tiny raw pred identical; oligo0 1466 clusters zero mismatch and metrics zero difference	PASS
P2-M	P2	packaging/ACOR_GITHUB_V1/acor.py	runtime identity, seed/order provenance and timing scope were incomplete	ELF/SHA preflight; pre-run manifest; seed/order/threads/config/mode/environment/SHA/job states; session wall	YES	tiny P2-E/P2-M raw identity; manifest audit	raw pred byte-identical; metrics zero difference	PASS
P3-S	P3	packaging/ACOR_GITHUB_V1/src/acor_runner.cpp;acor_kernel.hpp;acor_kernel.cpp	runtime included an entire .cpp and retained unreachable STOP_A orchestration	PImpl header/implementation boundary; NO_STOP-only runner; standalone diagnostic main removed	YES_VERIFIED	tiny raw identity; oligo0 1466-cluster canonical differential; full tests	tiny raw pred byte-identical; oligo0 zero mismatch and metrics zero difference	PASS
P3-O	P3	packaging/ACOR_GITHUB_V1/acor.py	order regenerated once per thread setting	one session-level order per seed/round reused by all thread jobs	YES	tiny P1/P4 shared artifact and manifest; fixed golden	raw pred byte-identical and shared order SHA unchanged	PASS
P3-H	P3	packaging/ACOR_GITHUB_V1	duplicate kernel/backups/baseline binaries polluted release	moved all legacy copies and baseline artifacts to results provenance snapshot	YES	release hygiene scan; 12 tests	no runtime behavior change	PASS
REG-TRUTH-SCOPE	P1_EVIDENCE	packaging/ACOR_GITHUB_V1/scripts/regression_real10.py	Zenodo truth contained 680 truth-only clusters with no input reads	derive one input-closed truth view; old/new use the same reads and effective truth; preserve original/effective SHA and excluded IDs	YES_HARNESS_ONLY	120 actual tasks; 50 paired canonical comparisons; truth-scope audit	zero old/new mismatch and zero metric difference; 680 exclusions explicitly registered	PASS
REG-VIEW-IDENTITY	P1_EVIDENCE	packaging/ACOR_GITHUB_V1/scripts/regression_real10.py	cached derived input views lacked an explicit source-identity recheck	verify reads samefile and effective-truth SHA; record hardlink/symlink mode for newly created views	YES_HARNESS_ONLY	post-run metadata rebuild over 120 task markers	algorithm/runtime files unchanged; no task rerun and no prediction change	PASS
REG-METRIC-COUNTS	P1_EVIDENCE	packaging/ACOR_GITHUB_V1/scripts/regression_real10.py	legacy old-package summaries omit exact_count/total_ed/total_truth_bases	backfill only after same-order canonical identity from the paired strict new evaluator and label provenance	YES_EVIDENCE_ONLY	50/50 paired rows canonical identity; no NA counts remain	predictions and exact/accuracy/mean_ED unchanged	PASS
REL-SOURCE-CLEAN	P1_RELEASE	packaging/ACOR_GITHUB_V1/scripts/make_release.sh	source archive could inherit locally built runner/evaluator	strictly exclude bin/build/release/backups/cache and reject runtime binary members; keep binaries only in Linux artifact	YES_RELEASE_ONLY	archive member audit; clean-room source build/install/test/smoke	no runtime source or algorithm change	PASS
V020-PARALLEL	V0.2	src/acor_runner.cpp	short and medium clusters paid repeated setup and high-thread NUMA placement costs	persistent pinned worker pool, reusable WorkerContext, NUMA first-touch, adaptive large-cluster evidence reduction	YES_OUTPUT_PRESERVING	8 datasets x P1/P20/P40 paired against v0.1.0	24/24 paired prediction hashes and quality metrics identical	PASS
